cgpa,package
8.2,8.4
7.69,8.3
8.32,9.5
9.02,10.4
7.61,8.4
7.61,8.8
9.06,12.6
8.41,10.1
7.42,8.4
8.23,9.6
7.43,6.6
7.43,8.1
7.99,9.2
6.27,8.1
6.42,6.2
7.35,8.3
6.99,7.4
8.05,8.4
7.07,8.4
6.67,7.4
8.97,11.6
7.62,7.8
7.85,10.1
6.66,5.7
7.36,8.5
7.89,10.8
6.88,6.4
8.1,8.9
7.32,8.1
7.57,8.0
7.32,6.7
9.28,11.6
7.79,8.0
6.95,7.7
8.46,9.3
6.82,8.3
7.97,8.5
6.23,5.8
6.74,7.6
7.96,8.1
8.39,10.1
7.94,10.1
7.71,7.4
7.56,8.6
6.62,6.9
7.22,8.4
7.43,7.2
8.65,9.3
8.07,9.8
6.39,6.5
8.06,9.5
7.49,8.6
7.26,7.3
8.29,9.9
8.62,10.6
8.55,9.6
7.13,9.1
7.55,8.8
8.07,8.4
8.58,10.8
7.42,7.4
7.65,9.2
6.91,8.2
6.84,6.5
8.45,10.8
8.88,11.1
7.74,9.4
8.6,11.8
8.09,9.2
7.28,7.3
8.09,8.6
9.03,10.4
7.77,8.7
9.05,11.4
5.7,5.3
8.46,10.7
7.87,9.0
7.56,9.6
7.87,8.8
6.21,8.2
7.62,9.0
8.09,8.7
8.98,10.1
7.39,8.5
7.15,7.5
7.4,8.7
8.53,10.5
8.06,9.3
7.38,7.4
8.21,8.4
7.88,8.6
8.57,10.9
7.24,8.0
7.54,7.4
7.49,8.4
6.63,7.0
8.04,8.6
8.01,9.3
7.8,8.9
7.61,7.6
