cgpa,package
8.2,9.8
7.69,9.1
8.32,10.6
9.02,11.9
7.61,7.4
7.61,7.8
9.06,11.5
8.41,10.4
7.42,8.6
8.23,12.7
7.43,8.6
7.43,9.1
7.99,10.0
6.27,6.6
6.42,6.1
7.35,8.6
6.99,6.8
8.05,9.1
7.07,7.1
6.67,6.9
8.97,12.8
7.62,7.0
7.85,9.5
6.66,5.5
7.36,7.7
7.89,9.9
6.88,7.2
8.1,8.5
7.32,7.4
7.57,9.0
7.32,7.4
9.28,11.7
7.79,8.9
6.95,6.8
8.46,11.7
6.82,7.6
7.97,7.5
6.23,6.2
6.74,6.4
7.96,9.8
8.39,9.3
7.94,9.0
7.71,9.1
7.56,9.1
6.62,5.8
7.22,7.5
7.43,7.8
8.65,9.8
8.07,10.7
6.39,6.6
8.06,8.3
7.49,9.0
7.26,9.6
8.29,10.5
8.62,9.1
8.55,9.8
7.13,8.6
7.55,7.8
8.07,9.7
8.58,10.9
7.42,7.4
7.65,8.5
6.91,4.7
6.84,6.3
8.45,9.8
8.88,9.8
7.74,10.0
8.6,9.1
8.09,9.0
7.28,8.0
8.09,10.5
9.03,9.9
7.77,9.7
9.05,11.1
5.7,4.3
8.46,10.4
7.87,9.1
7.56,7.9
7.87,9.0
6.21,5.7
7.62,8.6
8.09,9.9
8.98,12.2
7.39,7.1
7.15,9.4
7.4,6.6
8.53,10.0
8.06,9.8
7.38,8.3
8.21,9.1
7.88,8.8
8.57,9.8
7.24,7.4
7.54,9.0
7.49,8.6
6.63,6.2
8.04,10.0
8.01,9.5
7.8,9.5
7.61,9.0
6.67,6.1
7.46,7.8
7.53,8.9
7.16,8.2
7.67,8.6
8.12,9.5
9.31,12.6
7.94,8.6
8.01,9.6
7.74,8.6
6.26,5.9
7.78,9.7
7.85,9.6
9.77,13.0
7.65,9.6
8.04,9.3
7.77,9.3
6.87,6.9
8.71,10.7
8.4,9.8
8.43,10.1
7.07,8.0
8.92,10.2
6.68,8.5
8.27,8.9
9.55,11.0
7.01,8.3
7.35,8.7
7.88,9.5
7.4,8.6
6.56,6.6
7.85,8.2
6.95,7.4
8.18,9.0
7.06,8.3
9.04,11.0
7.17,7.1
7.54,8.1
8.45,10.3
6.82,6.6
7.98,8.5
8.85,10.9
6.51,6.7
7.95,8.7
8.01,8.8
8.43,10.2
6.81,5.9
6.74,5.8
8.22,9.0
8.04,9.1
8.0,9.4
8.08,10.5
7.26,8.5
7.99,9.0
8.03,9.2
7.23,7.0
9.29,11.5
8.18,9.3
6.85,7.4
8.33,9.1
7.02,7.9
8.43,11.2
8.73,10.4
7.14,8.0
8.57,10.8
8.13,9.1
8.46,10.2
9.32,11.6
7.6,8.6
7.2,7.1
7.09,7.6
7.15,8.1
7.74,9.9
8.07,10.1
8.02,11.0
8.46,9.4
7.81,9.6
8.96,11.1
7.59,10.2
9.98,12.1
8.3,9.1
7.11,7.1
6.94,5.6
8.19,9.1
7.62,7.9
8.37,10.0
8.18,9.8
7.74,10.2
7.12,8.4
6.59,6.2
7.44,7.5
8.49,10.5
7.97,8.1
6.8,8.5
7.94,10.0
8.11,9.0
7.09,6.2
7.92,10.1
7.85,8.8
6.89,8.2
